Tarih	Toplam Vaka	Yeni Vaka	Toplam Ölüm	Yeni Ölüm	Toplam İyileşme	Yeni İyileşme	Aktif Vaka	Toplam Yoğun Bakım Hasta Sayısı	Toplam Entübe Hasta Sayısı	Toplam Test	Yeni Test	Test Sayısı (Milyonda)	Test Başına Vaka (%)	Toplam Vaka (Milyonda)	Vaka Değişim Oranı (%)	Vaka Tespit Etme Oranı (%)	Ölüm Oranı (%)	Kapanan Vakada Ölüm (%)	Büyüme Faktörü	Test Değişim Oranı (%)	Time	Nüfusa oran
12.04.2020	56956	4789	1198	97	3446	481	52312	1665	978	376100	35720	4459	15.14	675	9.18	13.41	2.10	25.80	0.93	10.49	33	1480.775809
13.04.2020	61049	4093	1296	98	3957	511	55796	1786	1063	410556	34456	4868	14.87	724	7.19	11.88	2.12	24.67	0.85	9.16	34	1381.497928
14.04.2020	65111	4062	1403	107	4799	842	58909	1809	1087	443626	33070	5260	14.68	772	6.65	12.28	2.15	22.62	0.99	8.05	35	1295.312113
15.04.2020	69392	4281	1518	115	5674	875	62200	1820	1052	477716	34090	5664	14.53	823	6.57	12.56	2.19	21.11	1.05	7.68	36	1215.400435
16.04.2020	74193	4801	1643	125	7089	1415	65461	1854	1040	518143	40427	6144	14.32	880	6.92	11.88	2.21	18.82	1.12	8.46	37	1136.752349
17.04.2020	78546	4353	1769	126	8631	1542	68146	1845	1014	558413	40270	6621	14.07	931	5.87	10.81	2.25	17.01	0.91	7.77	38	1073.753813
18.04.2020	82329	3783	1890	121	10453	1822	69986	1894	1054	598933	40520	7101	13.75	976	4.82	9.34	2.30	15.31	0.87	7.26	39	1024.415054
19.04.2020	86306	3977	2017	127	11976	1523	72313	1922	1031	634277	35344	7521	13.61	1023	4.83	11.25	2.34	14.41	1.05	5.90	40	977.2097768
20.04.2020	90980	4674	2140	123	13430	1454	75410	1909	1033	673980	39703	7991	13.50	1079	5.42	11.77	2.35	13.74	1.18	6.26	41	927.0066718
21.04.2020	95591	4611	2259	119	14918	1488	78414	1865	1006	713409	39429	8459	13.40	1133	5.07	11.69	2.36	13.15	0.99	5.85	42	882.2908747
22.04.2020	98674	3083	2376	117	16477	1559	79821	1814	985	750944	37535	8904	13.14	1170	3.23	8.21	2.41	12.60	0.67	5.26	43	854.7243144
23.04.2020	101790	3116	2491	115	18491	2014	80808	1816	982	791906	40962	9390	12.85	1207	3.16	7.61	2.45	11.87	1.01	5.45	44	828.5594557
24.04.2020	104912	3122	2600	109	21737	3246	80575	1790	929	830257	38351	9844	12.64	1244	3.07	8.14	2.48	10.68	1.00	4.84	45	803.9029568
25.04.2020	107773	2861	2706	106	25582	3845	79485	1782	900	868565	38308	10298	12.41	1278	2.73	7.47	2.51	9.57	0.92	4.61	46	782.5621167
26.04.2020	110130	2357	2805	99	29140	3558	78185	1776	883	898742	30177	10656	12.25	1306	2.19	7.81	2.55	8.78	0.82	3.47	47	765.8137383
27.04.2020	112261	2131	2900	95	33791	4651	75570	1736	882	918885	20143	10895	12.22	1331	1.93	10.58	2.58	7.90	0.90	2.24	48	751.276641
28.04.2020	114653	2392	2992	92	38809	5018	72852	1621	845	948115	29230	11242	12.09	1359	2.13	8.18	2.61	7.16	1.12	3.18	49	735.6027928
29.04.2020	117589	2936	3081	89	44022	5213	70486	1574	831	991613	43498	11757	11.86	1394	2.56	6.75	2.62	6.54	1.23	4.59	50	717.2360255
30.04.2020	120204	2615	3174	93	48886	4864	68144	1514	803	1033617	42004	12255	11.63	1425	2.22	6.23	2.64	6.10	0.89	4.24	51	701.6327826
01.05.2020	122392	2188	3258	84	53808	4922	65326	1480	818	1075048	41431	12747	11.38	1451	1.82	5.28	2.66	5.71	0.84	4.01	52	689.0897036
